Content ID,Reaction Type,Datetime,Sentiment,Score,Content_Type,Category,,,The Top five Category,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020,negative,0,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021,negative,10,photo,Studying,,,Category,Total_Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021,negative,15,photo,Studying,,,Animals,74965
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021,negative,0,photo,Studying,,,science,71168
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020,positive,30,photo,Studying,,,healthy eating,69339
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020,neutral,35,photo,Studying,,,technology,68738
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021,positive,70,photo,Studying,,,food,66676
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021,negative,5,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021,neutral,35,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020,positive,65,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020,neutral,20,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020,negative,15,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020,positive,30,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020,negative,5,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020,negative,15,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021,positive,75,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020,neutral,35,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021,neutral,20,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021,positive,30,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021,positive,45,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020,neutral,35,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021,negative,12,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021,positive,50,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021,positive,60,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021,negative,12,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020,negative,5,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021,negative,5,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020,positive,70,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020,positive,75,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020,positive,45,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021,negative,15,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021,positive,30,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021,neutral,20,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021,positive,75,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021,negative,0,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021,positive,75,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021,positive,30,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020,negative,10,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020,negative,15,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020,negative,10,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021,positive,70,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020,positive,30,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020,neutral,20,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021,negative,12,photo,Studying,,,,
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021,negative,5,photo,Studying,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020,negative,10,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020,positive,45,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020,neutral,35,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021,negative,15,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021,negative,5,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021,negative,0,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021,negative,5,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021,positive,50,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021,positive,65,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020,positive,65,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021,positive,60,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020,neutral,20,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020,neutral,35,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020,positive,65,photo,healthy eating,,,,
9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021,positive,50,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020,negative,5,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020,positive,75,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021,positive,72,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020,negative,15,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020,positive,70,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020,positive,72,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021,positive,30,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020,positive,60,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021,positive,50,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021,positive,50,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020,negative,5,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021,positive,30,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021,negative,10,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020,neutral,35,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020,positive,60,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021,positive,75,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020,positive,70,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020,negative,5,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020,negative,10,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020,negative,15,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021,negative,10,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020,positive,70,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021,positive,30,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020,positive,65,photo,healthy eating,,,,
230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021,positive,60,photo,healthy eating,,,,
